"NumeroEtudiant";"Prenom";"Nom";"Adresse";"CodePostal";"Ville";"TelephoneFixe";"TelephonePortable"
1;"Emile";"Caron";"35 Rue de Port-à-loup";"01957";"Conpuygnuse";"0457943774";"0783088145"
2;"Jean-Pierre";"Le bars";"40 Avenue de Domrieu";"49846";"Bopord";"0301048989";"0768998409"
3;"Lionel";"Paulin";"48 Ruelle de Locvaux";"74019";"Mivran";"0396343400";"0752166514"
4;"Maxime";"Bey";"46 Impasse de Clairesdouves";"06094";"Magne";"0103297815";"0644028958"
5;"Damien";"Poussin";"42 Boulevard de Malecour";"15323";"Monmelame";"0488480048";"0745397226"
6;"Loïc";"Joubert";"77 Chemin de Grandchamp";"03074";"Puylanbont";"0330390460";"0745984301"
7;"Kevin";"Ribot";"8 Route de Eaucourbe";"70722";"Quedy";"0311395070";"0688096271"
8;"Guillaume";"Leclerc";"64 Rue de Ormcourbe";"56035";"Mabanches";"0167838197";"0637590757"
9;"Jonathan";"Minier";"35 Avenue de Château-réal";"25151";"Tevône";"0351817552";"0796382759"
10;"Jacques";"Filippi";"60 Ruelle de Laibrume";"09322";"Peyfargues";"0406441589";"0796525804"
11;"Jean-François";"Samson";"98 Impasse de Roncerousse";"55442";"Canpent";"0411293831";"0726910384"
12;"Jean-Paul";"Leblond";"20 Boulevard de Ruderoche";"84259";"Acangalle";"0267902321";"0612258884"
13;"Damien";"Breuil";"2 Chemin de Maleplaine";"74392";"Dieu";"0164057833";"0798492354"
14;"Damien";"Dos santos";"81 Route de Granderoche";"59906";"Lanvame";"0257102177";"0632859669"
15;"Albert";"Po";"29 Rue de Vertetour";"59854";"Autuse";"0483887572";"0738008023"
16;"David";"Boulay";"83 Avenue de Vertepierre";"79167";"Duire";"0344208465";"0751128356"
17;"Raymond";"Simon";"46 Ruelle de Richebord";"84535";"Brilac";"0139541872";"0712255506"
18;"Julien";"Berthelot";"35 Impasse de Roqueclair";"59793";"Lanbavrois";"0231261384";"0614328679"
19;"Serge";"Sueur";"52 Boulevard de Grandchamp";"86106";"Benur";"0438552530";"0717183330"
20;"Patrice";"Bourdon";"3 Chemin de Roquerousse";"28094";"Puyfeux";"0214452600";"0625611475"
21;"Ludovic";"Belliard";"79 Route de Toroc";"01957";"Conpuygnuse";"0364629347";"0671251159"
22;"Sylvain";"Guilloux";"83 Rue de Marlaine";"49846";"Bopord";"0405804974";"0780733778"
23;"Jean-Claude";"Ville";"26 Avenue de Malecour";"74019";"Mivran";"0100603264";"0784908108"
24;"Patrick";"Louvel";"78 Ruelle de Apremotte";"06094";"Magne";"0167052495";"0652969239"
25;"Jean-Claude";"Monier";"34 Impasse de Eauclair";"15323";"Monmelame";"0172853516";"0683946209"
26;"Arnaud";"Garreau";"12 Boulevard de Puycourbe";"03074";"Puylanbont";"0218112406";"0674232010"
27;"Alain";"Champagne";"76 Chemin de Vertfond";"70722";"Quedy";"0238735578";"0761472112"
28;"Gilles";"Chateau";"47 Route de Château-rouge";"56035";"Mabanches";"0337478736";"0649762453"
29;"Gérard";"Lim";"70 Rue de Rochefière";"25151";"Tevône";"0284961948";"0747523817"
30;"Eric";"Rigaud";"33 Avenue de Talroc";"09322";"Peyfargues";"0116509039";"0664964009"
31;"Mathieu";"Vignaud";"61 Ruelle de Pré-de-tourbe";"55442";"Canpent";"0379643209";"0640468472"
32;"Henri";"Baud";"29 Impasse de Bourgblanc";"84259";"Acangalle";"0424748852";"0725712077"
33;"Jean-Michel";"Marot";"14 Boulevard de Folséjour";"74392";"Dieu";"0275337381";"0776994059"
34;"Richard";"Besancon";"5 Chemin de Rochedroite";"59906";"Lanvame";"0371151948";"0775237736"
35;"Sébastien";"Grange";"58 Route de Folbourg";"59854";"Autuse";"0114906254";"0611953912"
36;"Denis";"Giry";"3 Rue de Roncevieille";"79167";"Duire";"0492547999";"0677317529"
37;"Nicolas";"Collard";"23 Avenue de Vieilfort";"84535";"Brilac";"0303378490";"0734772203"
38;"Franck";"Didier";"37 Ruelle de Castel-sur-cerf";"59793";"Lanbavrois";"0420887366";"0741644317"
